,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
111,High Point Panthers,12,9,3,0.75,5.35,-6.75,,,,,6,1,,0,1,,1130,852,,73,127.7,0.422,0.417,0.617,51.2,53.5,16.2,9,0.586,10.7,33.2,0.309
112,Hofstra Pride,12,8,4,0.667,3.34,-0.36,,,,,2,0,,4,4,,935,795,,68.3,114.1,0.301,0.406,0.576,53.5,52.8,8.9,11.2,0.55,14.6,33.9,0.217
113,Holy Cross Crusaders,12,5,7,0.417,-11.62,-0.62,,,,,3,2,,1,5,,808,872,,67.5,99.8,0.312,0.419,0.525,47.8,47.1,9.9,4.2,0.497,15.6,23.8,0.212
114,Houston Cougars,11,10,1,0.909,21.31,0.86,,,,,6,0,,0,0,,860,635,,65.2,118.6,0.24,0.424,0.551,53.8,61.7,14.3,14.6,0.524,11.9,38.8,0.18
115,Houston Christian Huskies,12,5,7,0.417,-9.43,-5.03,,1,3,,3,2,,2,4,,857,879,,66.5,106.3,0.375,0.381,0.545,51.1,59.6,10.2,12,0.521,15.5,30.5,0.243
116,Howard Bison,13,8,5,0.615,-10.71,-7.21,,,,,4,2,,1,3,,991,924,,71.2,107.1,0.462,0.332,0.555,51,58.7,13.4,9.8,0.514,16.5,32.1,0.327
117,Idaho Vandals,11,7,4,0.636,0.82,1.07,,,,,4,0,,2,3,,909,783,,69.6,118.8,0.338,0.514,0.599,55.8,57,8,5.9,0.565,13.9,32.9,0.26
118,Idaho State Bengals,12,7,5,0.583,4.3,2.41,,,,,4,0,,2,4,,900,819,,66,113.6,0.37,0.434,0.571,53.8,50.2,9.3,13.1,0.536,15.4,38.3,0.272
119,Illinois Fighting Illini,11,8,3,0.727,25.69,9.41,,1,1,,6,1,,1,0,,966,787,,70,125.5,0.357,0.458,0.595,56.9,47.6,5.5,13.3,0.556,11.5,38,0.28
120,Illinois State Redbirds,12,9,3,0.75,9.31,-0.96,,1,0,,5,0,,2,1,,968,810,,68.7,117.5,0.349,0.42,0.582,53.4,50.6,9,6.8,0.562,13.3,32.8,0.231
121,Illinois Chicago Flames,11,4,7,0.364,-4.76,-3.16,,0,2,,2,2,,1,4,,833,806,,69,109.8,0.382,0.356,0.541,51,54,12.6,14.1,0.492,15.8,39.2,0.295
122,Incarnate Word Cardinals,11,5,6,0.455,-2.13,4.74,,1,2,,4,0,,0,5,,908,818,,68.8,120,0.326,0.38,0.577,54,47.8,8.7,6,0.551,12.8,36.9,0.23
123,Indiana Hoosiers,11,8,3,0.727,22.62,4.35,,1,1,,7,0,,0,2,,942,741,,70.9,120.8,0.39,0.484,0.617,52.9,66.9,8.9,7.5,0.581,13.2,28.9,0.301
124,Indiana State Sycamores,12,7,5,0.583,-6.15,-4.95,,0,1,,5,1,,2,3,,928,867,,71.2,105.3,0.298,0.463,0.555,49.7,63.4,9.5,5.7,0.525,16.4,27.5,0.219
125,Iona Gaels,12,8,4,0.667,-0.36,-2.11,,1,1,,4,1,,3,1,,963,942,,73,107.7,0.291,0.415,0.555,46.9,52.2,10.7,7,0.526,14.2,26.5,0.211
126,Iowa Hawkeyes,11,9,2,0.818,19.72,2.26,,1,1,,7,0,,0,2,,872,680,,64.6,122.7,0.427,0.405,0.629,51.5,63.3,11.5,6.9,0.602,13.9,30.8,0.311
127,Iowa State Cyclones,11,11,0,1,29.39,2.21,,,,,6,0,,1,0,,995,696,,70.7,127.9,0.34,0.362,0.624,53.8,55.3,15.6,10.4,0.606,12.3,36.5,0.239
128,IU Indy Jaguars,13,4,9,0.308,-15.35,-3.26,,0,3,,3,3,,1,5,,1158,1194,,81.8,109,0.215,0.465,0.548,44.7,65.4,13.4,9.5,0.527,13.7,29.1,0.154
